"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"12107","Putnam, FL",2128537,2154516,2214212
"12109","St. Johns, FL",5412679,6703402,7794311
"12111","St. Lucie, FL",7189496,8148416,9013598
"12113","Santa Rosa, FL",3388944,3710587,4054358
"12115","Sarasota, FL",13631744,16993503,18810302
"12117","Seminole, FL",15331384,18085354,20549747
"12119","Sumter, FL",1997444,2324187,2661364
"12121","Suwannee, FL",1080372,1157794,1082642
"12123","Taylor, FL",693324,976079,971618
"12125","Union, FL",317874,322260,343427
"12127","Volusia, FL",14221864,15905962,17661757
"12129","Wakulla, FL",567169,633587,669260
"12131","Walton, FL",1918671,2380676,2725806
"12133","Washington, FL",481477,498684,532533
"13001","Appling, GA",1429736,1494035,1577575
"13003","Atkinson, GA",175956,229378,249092
"13005","Bacon, GA",306174,348701,386738
"13007","Baker, GA",112876,79544,78956
"13009","Baldwin, GA",1249506,1326533,1381140
"13011","Banks, GA",322644,375266,429674
"13013","Barrow, GA",1524649,1818509,2000246
"13015","Bartow, GA",3751953,4432986,4820688
"13017","Ben Hill, GA",497296,524708,548564
"13019","Berrien, GA",382402,351849,382458
"13021","Bibb, GA",7339079,8282971,8558068
"13023","Bleckley, GA",281101,242761,255520
"13025","Brantley, GA",194327,236840,261061
"13027","Brooks, GA",288466,303161,299959
"13029","Bryan, GA",616103,751094,858586
"13031","Bulloch, GA",1841608,2208483,2395204
"13033","Burke, GA",1920577,2176005,2663788
"13035","Butts, GA",480912,540443,614717
"13037","Calhoun, GA",148345,123309,141675
"13039","Camden, GA",1681778,1823328,2024013
"13043","Candler, GA",239206,243529,263226
"13045","Carroll, GA",3677668,3838496,4165577
"13047","Catoosa, GA",1284274,1368638,1479532
"13049","Charlton, GA",195852,204127,218607
"13051","Chatham, GA",14003362,16490326,18258914
"13053","Chattahoochee, GA",1973999,1883874,1558148
"13055","Chattooga, GA",499173,563019,594508
"13057","Cherokee, GA",4692407,5865631,6638948
"13059","Clarke, GA",6162215,6917756,7577580
"13061","Clay, GA",64667,77803,77367
"13063","Clayton, GA",13667317,16881290,19146889
"13065","Clinch, GA",206053,245004,262225
"13067","Cobb, GA",36383708,42620375,48281973
"13069","Coffee, GA",1182689,1322881,1463099
"13071","Colquitt, GA",1164042,1270914,1412814
"13073","Columbia, GA",2820971,3237821,3559548
"13075","Cook, GA",314330,340281,384164
"13077","Coweta, GA",3043608,3573043,3847708
"13079","Crawford, GA",146362,169883,178947
"13081","Crisp, GA",644340,734610,792358
"13083","Dade, GA",322645,353833,375769
"13085","Dawson, GA",621013,745584,856383
"13087","Decatur, GA",780859,817647,906794
"13089","DeKalb, GA",31274246,35911309,39606805
"13091","Dodge, GA",451068,461243,480708
"13093","Dooly, GA",314829,308569,343803
"13095","Dougherty, GA",4143347,4297584,4561232
"13097","Douglas, GA",3042637,3622895,4027180
"13099","Early, GA",536083,573558,597853
"13101","Echols, GA",46787,53281,52947
"13103","Effingham, GA",1599851,1780078,1957074
"13105","Elbert, GA",570080,599141,625502
"13107","Emanuel, GA",566365,647834,727929
"13109","Evans, GA",344357,365710,374991
"13111","Fannin, GA",489619,559330,649028
"13113","Fayette, GA",3564583,4036944,4592496
"13115","Floyd, GA",3695147,3953451,4189156
"13117","Forsyth, GA",6816866,8747976,9145092
"13119","Franklin, GA",681746,832967,897393
"13121","Fulton, GA",119431381,142025528,160986918
"13123","Gilmer, GA",707196,787872,838205
"13125","Glascock, GA",40325,47212,47426
"13127","Glynn, GA",3310337,3635304,3844441
"13129","Gordon, GA",1851411,2002506,2265689
"13131","Grady, GA",583736,645019,720465
"13133","Greene, GA",497549,612314,666702
"13135","Gwinnett, GA",36042188,43139495,46719349
"13137","Habersham, GA",1240461,1369270,1467795
"13139","Hall, GA",7138502,8441864,9450179
"13141","Hancock, GA",151678,182419,184644
"13143","Haralson, GA",681155,728601,778481
"13145","Harris, GA",402807,443803,493516
"13147","Hart, GA",687046,849685,858963
"13149","Heard, GA",1205827,1288240,1398863
"13151","Henry, GA",4381758,5101853,5792482
"13153","Houston, GA",5836870,6096547,6536640
"13155","Irwin, GA",210115,180079,196365
"13157","Jackson, GA",1920413,2365163,2803258
"13159","Jasper, GA",226490,242396,261517
"13161","Jeff Davis, GA",378078,418988,442292
"13163","Jefferson, GA",497034,488952,563602
"13165","Jenkins, GA",143275,145641,146061
"13167","Johnson, GA",141735,150967,149835
"13169","Jones, GA",358736,419979,467089
"13171","Lamar, GA",361591,410027,421935
"13173","Lanier, GA",131975,156482,180656
"13175","Laurens, GA",1471026,1808455,2085167
"13177","Lee, GA",553688,538060,599767
"13179","Liberty, GA",3603288,3489243,3547218
"13181","Lincoln, GA",133358,140823,148650
"13183","Long, GA",109741,123046,129570
"13185","Lowndes, GA",4231227,4588862,4968081
"13187","Lumpkin, GA",590488,677223,758739
"13189","McDuffie, GA",564270,621909,664163
"13191","McIntosh, GA",182359,191249,208515
"13193","Macon, GA",396079,430358,437430
"13195","Madison, GA",387582,443988,475697
"13197","Marion, GA",136101,135173,138946
"13199","Meriwether, GA",473507,485079,532111
"13201","Miller, GA",183162,175187,189811
"13205","Mitchell, GA",746620,783779,759523
"13207","Monroe, GA",1883658,1774980,1702541
"13209","Montgomery, GA",147725,160366,157670
"13211","Morgan, GA",557907,648583,711023
"13213","Murray, GA",1155987,1222377,1395519
"13215","Muscogee, GA",9469614,10005518,10696461
"13217","Newton, GA",2054787,2452853,2727643
"13219","Oconee, GA",904680,1170127,1307468
"13221","Oglethorpe, GA",271317,295706,303784
"13223","Paulding, GA",1860966,2216748,2486734
"13225","Peach, GA",709074,925740,1013346
"13227","Pickens, GA",722546,884767,990499
"13229","Pierce, GA",338552,370331,412327
"13231","Pike, GA",256425,284086,308020
"13233","Polk, GA",1017332,1174906,1257095
"13235","Pulaski, GA",255264,267665,279012
"13237","Putnam, GA",577556,502079,505572
"13239","Quitman, GA",44011,46350,49879
"13241","Rabun, GA",431084,468322,514912
"13243","Randolph, GA",194043,336564,404635
"13245","Richmond, GA",10664909,12027540,12740996
"13247","Rockdale, GA",3062714,3635901,3725699
"13249","Schley, GA",121959,116451,120207
"13251","Screven, GA",336805,327560,349349
"13253","Seminole, GA",314820,276014,281067
"13255","Spalding, GA",1924875,2006850,2111305
"13257","Stephens, GA",771370,887745,907168
"13259","Stewart, GA",105433,115634,134313
"13261","Sumter, GA",1037268,1054788,1097909
"13263","Talbot, GA",118577,118288,132417
"13265","Taliaferro, GA",32467,38587,38777
"13267","Tattnall, GA",540975,594421,613978
"13269","Taylor, GA",153721,162820,222703
"13271","Telfair, GA",293896,427693,442717
"13273","Terrell, GA",267717,255136,268555
"13275","Thomas, GA",1915836,2142683,2256094
"13277","Tift, GA",1537684,1946354,1865233
"13279","Toombs, GA",909805,984656,1000525
"13281","Towns, GA",277105,301596,316913
"13283","Treutlen, GA",109615,116839,125908
"13285","Troup, GA",3271911,3896525,4088730
"13287","Turner, GA",213569,211238,213195
"13289","Twiggs, GA",158372,172055,237890
"13291","Union, GA",561502,652028,699446
"13293","Upson, GA",656192,662084,683987
